d_prime,load_effect,Profit
0.9990,9.8434,126.5749
0.9162,9.6010,125.9534
0.9293,9.7020,13.1117
0.9586,9.8030,126.4752
0.9162,9.8131,127.2456
0.9465,9.6717,126.3153
0.9545,9.9141,126.9381
0.9263,9.8737,88.3796
0.9970,9.8030,137.1362
0.9444,9.6111,125.9508
0.9091,9.9747,127.1907
0.9919,9.6212,125.7701
0.9869,10.1465,138.1263
0.9545,10.0960,127.5665
0.9939,9.6919,143.4095
0.9404,9.8434,126.8335
0.9071,9.9949,127.6027
0.9030,9.7828,126.5728
0.9121,9.7525,126.4373
0.9838,10.0455,127.3214
0.9232,10.1263,127.7814
0.9556,9.7323,126.3203
0.9798,10.0051,127.3238
0.9121,9.6111,133.5021
0.9071,9.6212,125.9881
0.9646,9.8838,126.8287
0.9758,9.6515,126.0086
0.9101,9.8838,126.9236
0.9758,9.7424,126.4552
0.9596,9.9444,126.9611
0.9444,10.0758,127.4014
0.9101,10.0758,133.8496
0.9121,9.6818,138.2047
0.9970,9.7020,125.9449
0.9364,9.8131,126.5984
0.9475,9.9747,137.5665
0.9657,9.8333,136.9101
0.9182,10.1465,127.9001
0.9939,9.8939,133.0179
0.9859,9.9242,137.6123
0.9970,9.9545,137.6111
0.9596,10.1162,127.8102
0.9263,9.7828,126.4769
0.9869,9.7323,142.1702
0.9000,9.9444,127.3574
0.9121,10.1263,127.7321
load_effect,max_oil_cooling,Profit
0.9485,5.0732,137.6925
0.9717,4.8914,136.9924
0.9848,5.1288,127.6729
0.9293,4.9167,89.5961
0.9192,5.0126,127.3861
0.9899,4.9722,127.0575
0.9444,5.1237,133.9164
0.9505,4.8763,132.8616
0.9909,5.0682,127.3771
0.9020,5.0429,139.8478
0.9111,5.1035,127.8094
0.9879,4.9318,126.8593
0.9182,4.9520,127.1387
0.9889,5.0126,135.5927
0.9758,4.8712,126.4946
1.0000,4.9015,126.8578
0.9010,5.0833,140.5543
0.9051,4.9318,127.1493
0.9596,5.1338,127.9133
0.9091,4.9066,122.2839
0.9879,5.0884,133.5493
0.9414,4.9823,127.1006
0.9313,4.8813,126.8004
0.9899,5.0480,127.5009
0.9010,5.0227,127.5645
0.9556,5.1439,127.7917
0.9747,4.8611,135.2748
0.9455,5.0278,127.4865
0.9980,4.9823,127.0262
0.9545,4.9419,126.9016
0.9162,4.9773,127.3358
0.9303,5.1187,133.8503
0.9071,5.1136,128.0257
0.9263,5.1338,127.8468
0.9970,4.9217,126.7659
0.9747,5.1035,127.5702
0.9293,5.0631,127.4512
0.9051,4.9672,127.2293
0.9737,5.0328,140.4569
0.9020,5.0682,127.6387
0.9657,5.0025,133.0585
0.9333,5.1439,127.7985
0.9687,4.9621,126.9913
0.9939,4.9470,139.6767
0.9081,4.9975,127.5434
0.9737,5.1389,138.3199
0.9737,5.1490,127.7663
0.9384,4.9015,127.0600
0.9657,5.0530,127.4079
0.9889,5.1035,110.4611
0.9949,5.0379,137.9019
0.9040,4.9470,143.1488
0.9374,5.0934,137.8877
0.9737,4.9217,126.8932
0.9343,5.0429,127.3554
0.9444,4.9571,127.0862
0.9677,4.8611,137.0977
0.9869,5.1389,127.6896
0.9596,4.9066,127.0544
0.9485,5.0076,127.3763
0.9828,4.9975,137.2066
0.9646,5.0884,127.5840
0.9636,4.8561,126.7408
0.9505,4.8662,132.8508
0.9303,4.9318,127.0177
0.9222,5.0833,127.6509
0.9172,5.0328,127.4738
0.9263,4.8965,124.9064
0.9859,4.9066,126.9114
0.9384,5.1490,134.1812
0.9626,4.9874,127.1409
0.9061,4.9874,127.3806
0.9929,4.9571,136.0336
0.9929,5.0278,127.1895
0.9101,5.0530,127.6695
0.9111,4.9167,126.9290
0.9606,5.1136,127.2821
0.9768,5.0631,127.4172
0.9263,4.9975,127.2977
0.9960,5.0732,127.3141
