Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
 58392 45062 infeasible  701       437.23194 5024.00000  1049%   276 3393s
 59296 45673 4731.21274   62 2029  437.23194 5024.00000  1049%   273 3412s
 60089 45750 1055.09802  107  475  437.23194 5024.00000  1049%   273 3462s
 60178 46073 infeasible  108       437.23194 5024.00000  1049%   275 3485s
H60515 46108                     437.2320021 5024.00000  1049%   275 3506s
H60516 46108                     437.2320047 5024.00000  1049%   275 3506s
*60712 46022            1593     438.2895268 5024.00000  1046%   275 3506s
*60713 45993            1594     438.5033434 5024.00000  1046%   275 3506s
 60718 46094 1093.60121  111  484  438.50334 5024.00000  1046%   275 3523s
 60849 46246 1053.59978  118  476  438.50334 5024.00000  1046%   276 3545s
 61005 46353  916.26990  126  470  438.50334 5024.00000  1046%   278 3563s
 61126 46446  918.71645  128  454  438.50334 5024.00000  1046%   280 3578s
 61219 46558  759.54507  130  540  438.50334 5024.00000  1046%   281 3595s
 61333 46667  660.56814  137  499  438.50334 5024.00000  1046%   282 3614s
 61480 46702  613.08113  146  497  438.50334 5024.00000  1046%   283 3631s
 61525 46849  617.56526  151  462  438.50334 5024.00000  1046%   283 3651s
 61730 47077 4992.94523   41 2122  438.50334 5024.00000  1046%   285 3671s
 61995 47314 3660.61240  117 1648  438.50334 5024.00000  1046%   286 3695s
 62263 47508  726.40844  186  541  438.50334 5024.00000  1046%   288 3716s
 62475 47647     cutoff  192       438.50334 5024.00000  1046%   290 3737s
 62686 47754 4748.19851   78 2046  438.50334 5024.00000  1046%   292 3757s
 62833 48127 3709.23476  105 1944  438.50334 5024.00000  1046%   293 3782s
 63242 48480 1943.49843  115  967  438.50334 5024.00000  1046%   295 3808s
 63639 48519  644.16233  139  741  438.50334 5024.00000  1046%   297 3841s
 63678 48699  626.17207  140  737  438.50334 5024.00000  1046%   297 3867s
 63930 48873 infeasible  141       438.50334 5024.00000  1046%   299 3899s
 64118 48964 4793.70618   55 2086  438.50334 5024.00000  1046%   300 3937s
 64209 49241 4664.35297   66 2064  438.50334 5024.00000  1046%   301 3970s
 64486 49466 3482.98194  132 1785  438.50334 5024.00000  1046%   302 3995s
 64729 49886 1148.68752  164  761  438.50334 5024.00000  1046%   304 4024s
 65235 50257 4645.46452  111 2009  438.50334 5024.00000  1046%   305 4053s
 65624 50581 4171.65038  156 1954  438.50334 5024.00000  1046%   308 4084s
H65954 50553                     438.7056824 5024.00000  1045%   312 4338s
H65955 50424                     439.5533159 5024.00000  1043%   312 4338s
H65956 50331                     439.9495178 5024.00000  1042%   312 4338s
H65957 50176                     440.6728855 5024.00000  1040%   312 4338s
H65958 49654                     444.1384032 5024.00000  1031%   312 4338s
 65960 49768 3670.32209  175 1850  444.13840 5024.00000  1031%   312 4432s
