d_prime,load_effect,Profit
0.9999,4.2020,113.5934
0.9999,4.2424,64.9842
1.0052,4.0404,161.0401
1.0090,4.2222,163.8934
1.0037,4.9697,166.5278
1.0094,5.1717,167.0658
0.9981,4.2828,96.9807
0.9934,4.3232,61.2689
1.0015,4.9293,167.2228
1.0086,4.1010,162.9084
0.9997,4.6263,96.0428
0.9993,4.6061,46.3702
0.9902,4.9091,68.2987
1.0096,4.1616,163.6381
0.9900,5.1111,68.6282
0.9951,4.8283,84.9052
0.9928,5.6768,83.8972
0.9975,4.8485,86.8452
1.0064,5.0505,165.2172
0.9981,4.6667,74.9459
1.0074,4.5859,165.7625
1.0090,4.6667,164.9243
0.9940,4.0404,85.9377
0.9961,5.9596,91.6184
1.0007,5.6566,108.5040
0.9914,4.1616,46.8633
1.0100,5.2121,168.0435
1.0082,5.3535,168.8550
0.9942,4.8889,75.9034
0.9938,5.2929,63.8028
1.0088,5.1111,166.9273
1.0049,4.4848,164.9589
0.9930,5.6566,85.0312
1.0090,4.8687,166.7269
0.9948,4.0000,88.9710
0.9922,5.1717,44.2099
0.9910,4.6465,56.0486
1.0021,4.3434,164.7676
0.9908,5.0505,29.4886
1.0017,4.2626,164.2354
1.0092,4.2828,163.6996
0.9906,5.2121,37.4576
0.9918,4.0808,34.2400
0.9912,4.9697,44.9125
0.9906,4.1212,-25.3158
0.9902,4.2020,47.8813
1.0096,4.8485,165.8241
1.0049,4.3030,162.8230
0.9902,4.2222,45.3349
0.9914,5.0303,32.6197
1.0088,5.0707,167.2957
1.0098,4.0606,163.4620
1.0068,4.3232,112.0628
0.9900,5.3333,68.8563
1.0017,5.3333,167.1346
1.0031,5.9596,171.6767
1.0025,5.9798,171.4066
1.0041,4.9495,167.2818

0.9485,5.0732,17.3515
0.9717,4.8914,36.6986
0.9152,4.9621,6.1981
0.9626,4.8460,28.5221
0.9121,4.8258,5.6748
0.9808,5.1187,46.8858
0.9545,5.0025,21.3820
0.9980,5.1086,103.3562
0.9667,4.9369,33.1286
0.9889,4.9975,66.5158
0.9323,4.8106,10.3449
0.9657,4.8106,31.9328
0.9970,4.9470,90.3023
0.9758,5.0429,40.0316
0.9374,4.9066,12.1007
0.9182,4.8561,6.7723
0.9990,5.1338,127.5133
0.9091,4.9369,5.1991
0.9879,5.0732,63.2470
0.9172,4.9874,6.5752
0.9434,5.0429,14.6848
0.9535,5.0985,20.6360
0.9222,5.0379,7.6310
0.9141,5.0581,6.0189
0.9646,4.9773,30.7346
0.9414,4.8712,13.7559
0.9131,5.0783,5.8446
0.9101,5.0076,5.3537
0.9434,4.9520,14.6838
0.9212,4.7955,7.4049
0.9949,4.9722,91.9312
0.9030,4.9167,4.3683
0.9626,5.1288,28.5289
0.9798,4.8308,46.3012
0.9949,5.0429,94.7851
0.9737,4.9167,38.2569
0.9374,4.8359,12.1001
0.9960,5.0227,104.6272
0.9434,5.1187,14.6856
0.9172,4.8763,6.5747
0.9576,5.1439,23.8007
0.9586,5.1591,24.6709
0.9646,4.8712,30.7317
0.9354,4.9773,11.3610
0.9101,4.8965,5.3527
0.9444,4.9268,15.1748
0.9677,5.0177,33.8184
0.9000,4.9672,4.0060
0.9101,5.0934,5.3534
0.9364,5.0227,11.7250
0.9485,5.1692,17.3528
0.9414,5.1439,13.7586
0.9848,5.0934,59.9406
0.9455,4.8005,15.6859
0.9646,4.7955,30.7292
0.9091,5.0278,5.1994
0.9768,4.9520,40.9828
0.9758,4.8611,39.9939
0.9899,5.1439,69.0768
0.9576,4.8258,23.7941
0.9061,4.8662,4.7645
0.9707,4.7854,35.9335
0.9657,5.0884,31.9409
0.9202,4.9268,7.1875
0.9838,4.8460,54.8998
0.9303,5.1389,9.7271
0.9444,4.8510,15.1740
0.9364,5.0076,11.7248
0.9253,4.9470,8.3512
0.9818,5.1540,25.3076
0.9000,5.0985,4.0062
0.9232,5.0934,7.8634
0.9808,5.0581,46.8543
0.9374,5.1641,12.1036
0.9626,4.9015,28.5233
0.9556,5.0480,22.1652
0.9364,5.1035,11.7254
0.9343,5.0833,11.0113
0.9576,5.0328,23.7983
0.9980,5.0682,94.6146
0.9970,5.0884,90.9506
0.9697,5.1086,35.2409
0.9758,4.9874,39.9919
0.9485,4.9874,17.3506
0.9566,4.8864,22.9672
0.9848,4.8207,59.7881
0.9798,4.9015,-18.9002
0.9333,4.9621,10.6720
0.9828,5.0076,16.4574
0.9354,4.9924,11.3610
0.9808,4.8106,46.7256
0.9222,4.8308,7.6300
0.9657,4.9520,31.9361
0.9848,5.0328,59.9068
0.9253,4.9167,8.3508
0.9727,5.1338,37.5106
0.9212,5.0682,7.4059
0.9505,4.9369,18.5791
0.9384,4.8207,12.4912
0.9960,4.9823,104.3656
load_effect,max_cooling_system_cooling,Profit
1.2273,10.2929,42.4206
0.6818,10.8990,8.6390
1.8030,10.2727,108.0793
1.3788,9.6869,92.4292
0.7727,10.1717,39.6850
1.0606,10.9798,53.8931
1.6212,10.5758,51.3914
0.6515,10.5354,105.8364
1.3939,10.9394,12.8249
0.5152,10.9596,56.0401
1.2576,9.6465,107.4759
1.8636,10.1313,105.3536
1.5000,10.0303,51.4742
1.1061,10.6162,72.9137
0.8788,10.0101,50.0567
1.0909,9.7071,91.6632
0.5152,10.7172,68.6695
1.8182,10.4747,131.1359
1.3939,10.6970,111.3187
1.9545,10.3333,49.7718
1.9848,10.4747,71.4311
0.6970,10.3131,51.5966
1.0000,9.7071,92.3612
2.0000,10.5758,51.9339
0.8788,10.7374,11.1969
1.2121,9.9293,40.1649
1.3030,10.9798,51.5934
1.6818,10.0707,48.4803
1.5909,10.7374,132.6138
1.0606,9.6061,31.4415
0.6818,10.1515,57.3669
1.9394,10.1111,76.1940
1.5455,10.8586,96.5056
